iter	Passed	Remaining
0	46	46375
1	46	23378
2	47	15696
3	47	11857
4	47	9533
5	48	8001
6	48	6889
7	48	6057
8	49	5408
9	49	4889
10	55	4985
11	55	4584
12	55	4248
13	56	3962
14	56	3713
15	56	3494
16	57	3302
17	57	3123
18	57	2971
19	57	2833
20	58	2708
21	58	2594
22	58	2490
23	58	2395
24	59	2308
25	59	2227
26	67	2425
27	71	2474
28	72	2434
29	73	2361
30	73	2291
31	73	2225
32	73	2164
33	74	2106
34	74	2049
35	74	1998
36	78	2046
37	82	2082
38	83	2052
39	83	2005
40	83	1961
41	84	1919
42	84	1878
43	84	1839
44	84	1800
45	85	1764
46	85	1731
47	85	1698
48	85	1667
49	91	1744
50	95	1777
51	95	1747
52	96	1715
53	96	1687
54	96	1659
55	96	1633
56	97	1607
57	97	1583
58	104	1669
59	105	1648
60	105	1630
61	107	1633
62	108	1615
63	109	1598
64	109	1582
65	110	1568
66	111	1552
67	112	1539
68	113	1525
69	115	1532
70	115	1517
71	118	1530
72	119	1513
73	120	1501
74	120	1487
75	121	1476
76	122	1471
77	123	1455
78	124	1445
79	124	1433
80	125	1421
81	127	1423
82	128	1415
83	128	1404
84	129	1394
85	130	1384
86	131	1379
87	132	1369
88	132	1358
89	133	1349
90	134	1344
91	135	1335
92	135	1324
93	138	1333
94	139	1328
95	139	1316
96	140	1306
97	140	1296
98	141	1288
99	142	1282
100	144	1289
101	145	1280
102	146	1273
103	147	1269
104	148	1262
105	148	1255
106	149	1247
107	150	1242
108	151	1237
109	151	1229
110	152	1222
111	155	1235
112	156	1228
113	156	1220
114	158	1215
115	158	1208
116	159	1201
117	159	1195
118	160	1188
119	164	1203
120	164	1194
121	165	1189
122	165	1183
123	166	1176
124	167	1170
125	168	1165
126	169	1164
127	169	1157
128	172	1167
129	173	1162
130	174	1156
131	175	1151
132	175	1144
133	176	1139
134	177	1135
135	177	1130
136	178	1124
137	179	1119
138	179	1114
139	180	1109
140	181	1104
141	181	1099
142	182	1094
143	183	1091
144	184	1086
145	185	1082
146	185	1076
147	186	1072
148	186	1067
149	187	1063
150	188	1061
151	192	1073
152	193	1068
153	193	1064
154	194	1059
155	195	1055
156	195	1050
157	196	1045
158	196	1040
159	197	1037
160	199	1041
161	200	1038
162	201	1032
163	201	1027
164	202	1024
165	203	1021
166	204	1018
167	204	1013
168	205	1009
169	205	1005
170	206	1000
171	207	997
172	207	992
173	208	990
174	213	1005
175	214	1003
176	215	999
177	215	995
178	215	990
179	216	984
180	217	986
181	218	981
182	218	976
183	219	974
184	220	972
185	221	968
186	221	963
187	221	958
188	224	963
189	225	959
190	225	956
191	226	951
192	226	946
193	226	941
194	226	936
195	227	931
196	227	926
197	227	921
198	227	917
199	228	912
200	228	907
201	228	902
202	228	898
203	228	893
204	229	888
205	229	884
206	229	879
207	229	875
208	230	870
209	230	866
210	230	862
211	230	857
212	231	853
213	231	849
214	231	845
215	231	841
216	231	836
217	232	832
218	232	828
219	232	824
220	232	820
221	233	816
222	233	812
223	233	808
224	233	804
225	233	801
226	234	797
227	234	793
228	234	789
229	234	786
230	235	782
231	235	779
232	235	775
233	235	772
234	236	768
235	236	764
236	236	761
237	236	758
238	236	754
239	237	751
240	237	747
241	237	744
242	237	741
243	238	737
244	238	734
245	238	731
246	238	728
247	239	725
248	239	722
249	239	719
250	239	715
251	240	712
252	240	709
253	240	706
254	240	703
255	241	700
256	241	697
257	241	694
258	241	691
259	242	688
260	242	685
261	242	683
262	242	680
263	242	677
264	243	674
265	243	671
266	243	669
267	243	666
268	244	663
269	244	660
270	244	658
271	244	655
272	246	655
273	246	653
274	246	650
275	247	648
276	247	645
277	247	643
278	247	640
279	248	638
280	248	635
281	248	632
282	248	630
283	249	627
284	250	628
285	250	626
286	251	623
287	251	621
288	251	619
289	251	616
290	252	614
291	252	611
292	252	609
293	252	607
294	252	604
295	253	602
